loan_id,customer_id,name,loan_amount,emi_amount,emi_paid,total_emis,due_amount,last_payment_date,repayment_status,recovery_action,payment_method
404057,95831,Brad Marshall,182831.3,3515.99,4,52,168767.52,14-03-2024,Late,Legal Notice,UPI
196796,70133,Jeremy Jones,405520.27,12288.49,15,33,221192.82,19-11-2023,On Time,Collection Agency,Bank Transfer
259810,29446,Emma Garcia,715437.18,15552.98,16,46,466589.4,08-09-2023,On Time,Collection Agency,UPI
477644,56596,Alexandra Harrison,378328.94,6412.35,3,59,359091.6,26-12-2024,Late,Legal Notice,UPI
648189,56006,Rebecca Mitchell,145981.63,7683.24,1,19,138298.32,28-12-2024,Defaulted,None,UPI
377382,65571,Corey Garcia,186538.62,6217.95,13,30,105705.15,19-10-2023,Defaulted,Reminder Sent,Credit Card
315039,52903,Anthony Woods,949369.76,49966.83,6,19,649568.79,24-02-2024,Defaulted,Reminder Sent,Credit Card
428060,53511,Adrienne Burke,694637.83,19846.8,25,35,198468,19-10-2024,Defaulted,Reminder Sent,Bank Transfer
656594,75513,Katherine Horton,36042.23,1441.69,19,25,8650.14,20-09-2024,On Time,Collection Agency,UPI
954299,63838,Yesenia Goodwin,389730.03,27837.86,9,14,139189.3,03-08-2024,On Time,None,Bank Transfer
757133,80987,Michele King,740567.8,56966.75,12,13,56966.75,17-06-2025,Late,Reminder Sent,Bank Transfer
200531,81785,Jeffrey Ramirez,750178.38,21433.67,5,35,643010.1,24-09-2023,Late,Legal Notice,
312380,34219,Mrs. Carolyn Miller,19771.54,941.5,16,21,4707.5,18-10-2024,Late,Collection Agency,Credit Card
922066,42696,Patrick Wood,261899.25,17459.95,8,15,122219.65,20-04-2024,On Time,Collection Agency,Credit Card
702550,66995,Matthew Vega,746490.33,18207.08,29,41,218484.96,13-04-2025,Defaulted,Legal Notice,UPI
201891,65283,Stephen White,734152.97,15959.85,17,46,462835.65,03-05-2024,Defaulted,Reminder Sent,UPI
501498,71744,Eric Walton,518881.87,28826.77,13,18,144133.85,27-01-2025,Defaulted,None,Credit Card
997875,10488,Zachary Collins,285406.1,10977.16,16,26,109771.6,10-09-2023,Late,None,Credit Card
182959,32806,Craig Rocha,465106.12,15503.54,13,30,263560.18,29-09-2023,Late,Collection Agency,Credit Card
838974,42246,Adam Ramirez,27428.01,583.57,34,47,7586.41,22-10-2024,Late,Legal Notice,Bank Transfer
834371,91570,Jeffrey Li,497081,13081.08,38,38,0,01-11-2023,Late,Collection Agency,Cash
860019,30998,Jeffrey Becker,179448.51,5981.62,28,30,11963.24,27-01-2025,Late,None,Credit Card
373243,81151,Jodi Sanchez,629462.85,13113.81,11,48,485210.97,07-02-2024,On Time,None,Credit Card
856960,15581,Catherine Raymond,881908.45,36746.19,24,24,0,22-06-2024,On Time,,Cash
309916,94988,Carol Martinez,873883.27,28189.78,2,31,817503.62,12-07-2023,Late,Reminder Sent,Cash
821250,38428,Andrea Peters,207519.07,3517.27,24,59,123104.45,14-05-2024,On Time,Reminder Sent,Bank Transfer
549441,79750,Michael Robbins,247009.93,6861.39,27,36,61752.51,14-07-2024,,Collection Agency,Cash
708409,48321,Donna Woods,205292.48,11405.14,4,18,159671.96,19-01-2025,Defaulted,Legal Notice,Bank Transfer
446534,61289,Marilyn Lynn,196349.07,7853.96,21,25,31415.84,17-07-2024,Late,None,Bank Transfer
258203,82818,Willie Olson,846456.41,14346.72,33,59,373014.72,30-11-2024,,Reminder Sent,Credit Card
110305,65710,Darren Flores,690990.09,23033,17,30,299429,25-02-2025,Defaulted,Collection Agency,UPI
382956,79030,Deborah Mcdowell,783590.17,19111.96,2,41,745366.44,02-07-2023,Late,Reminder Sent,Bank Transfer
692554,21564,Ryan Allen,743019.77,17690.95,20,42,389200.9,20-06-2024,Late,None,Credit Card
554347,24003,Tina Randall,783389.53,13506.72,1,58,769883.04,30-10-2023,On Time,Legal Notice,Credit Card
216896,47447,Michael Vang,75541.93,4443.64,17,17,0,27-07-2024,Late,None,Bank Transfer
537868,37877,Micheal Marshall,340807.99,5876,35,58,135148,25-11-2024,On Time,Collection Agency,Cash
201317,62998,Stacy Owens,278255.77,4881.68,34,57,112278.64,20-06-2023,Late,Reminder Sent,UPI
660553,35352,Andrew Brown,314578.75,20971.92,13,15,41943.84,11-09-2023,On Time,Legal Notice,
449064,61545,Melissa Haas,91920.85,5745.05,3,16,74685.65,19-09-2023,Late,Legal Notice,Bank Transfer
526244,25748,Jay Duncan,331592.34,6028.95,18,55,223071.15,29-01-2025,Late,Legal Notice,Bank Transfer
264152,28212,Nancy Berger,690363.94,15341.42,24,45,322169.82,27-06-2024,,Collection Agency,Credit Card
240250,66040,Zachary Wilson,24594.66,1294.46,14,19,6472.3,05-12-2023,On Time,Reminder Sent,Bank Transfer
464596,34682,Rebecca Boyle,350721.35,6153.01,21,57,221508.36,20-09-2024,Late,Reminder Sent,Cash
376731,11832,Michael Flores,51493.58,1609.17,21,32,17700.87,09-02-2025,On Time,None,UPI
112148,72847,Ashley Chang,291371.68,5023.65,0,58,291371.7,04-10-2024,Defaulted,None,UPI
980614,22956,Karen Dean,696552.54,27862.1,14,25,306483.1,21-06-2023,Late,Reminder Sent,UPI
380263,25628,Sheila Brown,980398.29,36311.05,2,27,907776.25,16-02-2025,Late,Legal Notice,Cash
596577,98352,Matthew Lutz,46114.57,1048.06,34,44,10480.6,18-02-2024,Defaulted,Legal Notice,Bank Transfer
469948,18608,Stephanie Greene,507593.01,11536.2,38,44,69217.2,11-11-2024,On Time,Legal Notice,Credit Card
545720,17621,Justin Snyder,796078.29,13725.49,35,58,315686.27,04-10-2023,Defaulted,,Cash
766411,15104,Howard Coleman,560792.85,16493.91,2,34,527805.12,30-12-2023,Late,None,Bank Transfer
527352,93718,David Roberts,474225.27,9119.72,19,52,300950.76,22-07-2023,On Time,Collection Agency,Credit Card
591747,59001,Denise Cabrera,457891.37,15789.36,22,29,110525.52,16-02-2024,On Time,None,UPI
248659,88557,Jacob Jones,444472.78,10582.69,21,42,222236.49,02-07-2023,Defaulted,Collection Agency,UPI
353441,25896,Max Gray,392882.92,7857.66,48,50,15715.32,25-07-2023,Late,None,Cash
287782,15636,Anthony Howell,634136.24,45295.45,9,14,226477.25,25-11-2024,On Time,None,Cash
811221,71182,Michael Miller,721607.12,22550.22,6,32,586305.72,11-05-2024,,Reminder Sent,Credit Card
381731,82464,Ronald Rodriguez,153938.92,2850.72,50,54,11402.88,02-03-2025,Late,,Cash
643948,15812,Donna Smith,592946.79,29647.34,12,20,237178.72,09-07-2024,On Time,Reminder Sent,Bank Transfer
989250,44534,David Hughes,979318.32,36271.05,1,27,943047.3,12-02-2025,Defaulted,None,Bank Transfer
909129,60502,Stephanie Holmes,303238.29,10829.94,16,28,129959.28,19-05-2025,On Time,None,Bank Transfer
451121,56066,David Fischer,992924.87,26129.6,17,38,548721.6,01-02-2025,Defaulted,Legal Notice,UPI
878179,46424,Anthony Jackson,983666.31,20929.07,15,47,669730.24,17-10-2023,On Time,Collection Agency,Bank Transfer
680620,49337,Kenneth Franklin,458222.21,10656.33,20,43,245095.59,05-04-2025,Defaulted,Collection Agency,UPI
558698,72794,Linda Dixon,584489.9,11689.8,15,50,409143,24-05-2025,Late,Legal Notice,Cash
870446,75741,Zoe Livingston,466258.48,22202.78,20,21,22202.78,19-12-2023,Late,None,UPI
559642,39536,Stephen Ferguson,926262.17,66161.58,0,14,926262.12,27-08-2024,Late,Collection Agency,Cash
179049,24639,Brenda Tanner,484434.75,25496.57,16,19,76489.71,19-01-2024,Defaulted,,Bank Transfer
378493,83489,John Harvey,453498.28,21595.16,8,21,280737.08,12-11-2024,On Time,Collection Agency,UPI
695998,14277,Cynthia Morales,649579.46,15466.18,27,42,231992.7,11-05-2025,Defaulted,Collection Agency,Cash
728014,71199,Ashley Ortiz,721640.76,32801.85,22,22,0,19-02-2025,,None,Bank Transfer
821550,96148,Leonard Lawson,730964.95,15890.54,23,46,365482.42,10-08-2023,Late,None,Bank Transfer
700112,86453,William Anderson,508364.43,13739.58,7,37,412187.4,28-06-2023,,Collection Agency,Credit Card
651787,85397,Kara Perez,950972.58,28817.35,14,33,547529.65,18-03-2025,Late,Reminder Sent,Cash
670838,56253,Kathy Brooks,575860.68,9597.68,55,60,47988.4,26-10-2024,Late,Reminder Sent,Bank Transfer
647319,98760,Heather Johnson,360465.41,6801.23,3,53,340061.5,03-03-2024,Defaulted,Reminder Sent,Cash
498181,74672,Jessica Butler MD,688946.35,16403.48,4,42,623332.24,05-11-2023,On Time,Reminder Sent,Bank Transfer
221790,13234,Courtney Bailey,292042.51,10070.43,8,29,211479.03,24-08-2024,Late,,Bank Transfer
697867,80861,Jacqueline Alexander,60006.55,1818.38,26,33,12728.66,23-11-2024,Defaulted,None,Bank Transfer
689099,34430,Andrea Sparks,307020.46,12280.82,20,25,61404.1,09-02-2025,Late,Legal Notice,Cash
782959,22771,Theresa Walker,244336.36,8726.3,0,28,244336.4,21-06-2024,Late,None,Bank Transfer
286256,82142,Colleen Coleman,706874.29,29453.1,15,24,265077.9,12-06-2024,Late,Reminder Sent,UPI
893096,45429,Michael Hernandez,735152.26,18378.81,11,40,532985.49,19-09-2023,On Time,,Credit Card
941799,35145,Tiffany West,638383.39,14186.3,42,45,42558.9,22-07-2024,Late,Collection Agency,Credit Card
808784,36575,David Martin,250064.95,4465.45,50,56,26792.7,16-05-2024,Defaulted,Reminder Sent,Bank Transfer
926855,60277,Timothy Adkins,553033.84,12022.47,33,46,156292.11,29-11-2024,On Time,Collection Agency,UPI
951971,10844,Philip Perez,589158.37,14728.96,22,40,265121.28,24-11-2024,Late,Collection Agency,Credit Card
136804,13266,Amanda Mcdaniel,923179.73,16485.35,15,56,675899.35,10-10-2023,Late,None,Bank Transfer
626206,70381,Erin Hill,412780.37,7938.08,13,52,309585.12,20-04-2025,Defaulted,Reminder Sent,Credit Card
861871,48959,Lisa Vaughn,305071.9,5447.71,23,56,179774.43,06-01-2025,Late,Reminder Sent,Credit Card
415809,32817,David Fields,200296.49,4261.63,36,47,46877.93,02-04-2024,Late,None,Cash
583232,60826,William Adams,285232.01,12965.09,21,22,12965.09,18-06-2024,Late,None,UPI
153187,96617,Cynthia Crawford,22072.63,788.31,18,28,7883.1,08-04-2024,Late,Reminder Sent,Cash
188053,74593,Latoya King,562987.8,20851.4,2,27,521285,09-04-2024,,Collection Agency,Credit Card
301314,83711,Amanda Zuniga,51635.47,1147.45,12,45,37865.85,09-05-2024,On Time,None,Cash
229524,23008,Isaiah Davis,63078.87,1126.41,50,56,6758.46,11-04-2024,,None,Bank Transfer
686538,41041,Derek Campbell,914021.03,19042.1,6,48,799768.2,10-08-2024,Defaulted,Reminder Sent,
974088,89847,Erik Johnson,717576.97,39865.39,1,18,677711.63,02-04-2025,Defaulted,Reminder Sent,Credit Card
105974,82062,Michael Middleton,529803.03,26490.15,18,20,52980.3,20-09-2024,Late,Reminder Sent,Cash
528566,82995,Colleen Graves,827057.51,16541.15,37,50,215034.95,10-12-2023,Late,Legal Notice,UPI
729094,51515,Charlotte Doyle,345724.53,15031.5,15,23,120252,03-06-2025,On Time,None,UPI
840522,40039,Dakota Patel,983741.45,17886.21,25,55,536586.3,07-07-2023,Late,Legal Notice,Cash
174341,43851,Danny Chapman,313904.66,9512.26,19,33,133171.64,14-11-2024,Late,Legal Notice,
974749,50824,Travis Brock,148202.92,3293.4,33,45,39520.8,02-10-2023,,Reminder Sent,Bank Transfer
996034,23834,John Frye,503639.1,19370.73,4,26,426156.06,07-08-2024,Defaulted,Collection Agency,Bank Transfer
590750,47007,David Roth,689751.68,53057.82,6,13,371404.74,22-09-2023,Late,None,Cash
931957,73106,Daniel Hill,803938.24,42312.54,1,19,761625.72,13-09-2024,Late,Legal Notice,Cash
220390,26300,Walter Gonzalez,661367.27,22045.58,8,30,485002.76,31-01-2025,On Time,Collection Agency,Bank Transfer
323346,28776,Michelle Murray,624735,11569.17,31,54,266090.91,23-08-2024,Late,Reminder Sent,Cash
593708,24889,Molly Lewis,56391.18,1524.09,15,37,33529.98,24-02-2024,Defaulted,Collection Agency,Bank Transfer
271285,31843,Kenneth Johnson,797901.21,30688.51,10,26,491016.16,16-10-2024,On Time,None,UPI
240321,94627,Jeremy Collins,816773.6,18150.52,27,45,326709.36,30-08-2024,On Time,None,Credit Card
878514,95066,Abigail Salinas,478503.57,8250.06,16,58,346502.52,16-08-2024,Defaulted,Reminder Sent,Bank Transfer
271654,78743,Erik Fuentes,419947.78,11051.26,0,38,419947.88,24-04-2024,Late,Collection Agency,UPI
388517,88286,Angel Cook,695569.24,27822.77,19,25,166936.62,14-12-2024,On Time,Reminder Sent,Bank Transfer
567816,41318,Eric Morgan,596267.32,10460.83,43,57,146451.62,13-09-2023,Late,,UPI
756309,59648,Anthony Merritt,515950.08,11998.84,27,43,191981.44,18-09-2023,On Time,Reminder Sent,UPI
254741,86597,Richard Miller,312152.6,6370.46,22,49,172002.42,31-10-2024,Defaulted,Legal Notice,Credit Card
904121,96900,Rebecca Pearson,42652.76,820.25,28,52,19686,10-08-2024,On Time,Reminder Sent,Cash
447766,85864,Sheila Davis,723973.39,24132.45,10,30,482649,07-08-2023,Defaulted,,UPI
699395,71352,Patricia Leach,418008.6,20900.43,0,20,418008.6,07-02-2024,Late,Collection Agency,Bank Transfer
368267,62292,James Hayden,861034,15655.16,52,55,46965.48,25-10-2024,Defaulted,None,UPI
448374,80998,Mrs. Shannon Fields,361737.75,6698.85,36,54,120579.3,19-07-2024,Defaulted,Legal Notice,Bank Transfer
370280,69851,Thomas Carter,150101.67,3063.3,31,49,55139.4,05-01-2025,On Time,Legal Notice,Cash
680281,79035,Marissa Parker,603333,20111.1,5,30,502777.5,28-08-2023,Late,Collection Agency,Bank Transfer
719091,49087,Donna Ball,942652.92,44888.23,1,21,897764.6,16-04-2025,,Legal Notice,Credit Card
923670,71972,Billy Cole,467439.75,15078.7,16,31,226180.5,27-01-2024,On Time,Reminder Sent,Credit Card
642598,26333,Ashley Miller,998130.08,58713.53,7,17,587135.3,17-06-2025,Late,None,Credit Card
272081,93902,Valerie Zuniga,229594.36,12083.91,2,19,205426.47,12-01-2024,Defaulted,Legal Notice,Credit Card
479590,31906,Christine Jones,501280.67,41773.39,12,12,0,02-12-2024,Defaulted,Collection Agency,Bank Transfer
579336,55232,Samantha Black,308966.54,7185.27,34,43,64667.43,19-09-2024,On Time,,Bank Transfer
215170,22234,Heather Roberson,666011.72,16650.29,32,40,133202.32,28-12-2023,Defaulted,Reminder Sent,Bank Transfer
533549,68343,Leah Castaneda,71070.5,1184.51,49,60,13029.61,22-03-2024,Defaulted,None,UPI
841420,84095,Nina Smith,516625.42,23482.97,14,22,187863.76,24-12-2024,On Time,Reminder Sent,Bank Transfer
957273,22289,John Bullock,157228.02,2807.64,26,56,84229.2,21-09-2023,On Time,Collection Agency,Bank Transfer
712258,91126,Michelle Lewis,652299.48,21743.32,6,30,521839.68,10-08-2023,On Time,Legal Notice,UPI
925713,66747,Dawn Silva,816571.87,13840.2,3,59,775051.2,27-03-2024,On Time,Legal Notice,Credit Card
863209,71292,Beth Hamilton,240411.87,7512.87,20,32,90154.44,15-06-2025,Defaulted,Collection Agency,Cash
939779,51897,Michael Williams,505042.8,14429.79,35,35,0,16-02-2025,,Collection Agency,Cash
794489,28448,Maria Fleming,973791.66,44263.26,12,22,442632.6,17-05-2025,Defaulted,Legal Notice,UPI
494469,34087,Robert Ortiz,351446.73,27034.36,3,13,270343.6,31-10-2024,Defaulted,Reminder Sent,Bank Transfer
211526,97053,Luke Cooper,751154.3,14728.52,18,51,486041.16,16-11-2023,Late,None,Credit Card
861941,55100,Devon Lewis,769407.18,14517.12,35,53,261308.16,06-11-2024,Defaulted,None,Bank Transfer
530210,47807,Kevin Allen,936916.08,31230.54,29,30,31230.54,01-03-2024,On Time,Reminder Sent,Cash
464755,60172,Sarah Scott,434348.26,11739.14,28,37,105652.26,10-06-2025,Defaulted,None,Bank Transfer
635962,54559,Gabriela Golden,154349.9,2707.89,8,57,132686.61,08-10-2024,Defaulted,None,UPI
496785,19456,Brandon Reed,182084.53,3793.43,24,48,91042.32,03-03-2025,On Time,Collection Agency,Cash
111631,97776,James Smith,448947.73,9353.08,10,48,355417.04,19-10-2024,On Time,Collection Agency,Bank Transfer
677440,99924,Kyle Reynolds,225129.97,8338.15,10,27,141748.55,13-08-2024,Late,None,Bank Transfer
893909,16189,Kimberly Coffey,937322.4,32321.46,9,29,646429.2,29-03-2024,Defaulted,Legal Notice,UPI
459150,29012,Kaylee Gonzalez,747775.2,33989.78,8,22,475856.92,17-01-2024,Late,None,UPI
837480,27771,Megan Walsh,744108.73,19581.81,19,38,372054.39,10-12-2024,Late,None,Credit Card
602737,22240,Matthew Day,980759.23,81729.94,3,12,735569.46,30-01-2024,Defaulted,Collection Agency,Bank Transfer
563310,65611,Amanda Baker,307839.22,20522.61,4,15,225748.71,18-04-2025,On Time,Reminder Sent,Bank Transfer
322363,94389,James Jackson,236631.99,4225.57,21,56,147894.95,17-07-2023,Defaulted,Collection Agency,Cash
340601,79474,Justin Pratt,609265.46,27693.88,1,22,581571.48,23-03-2024,Defaulted,None,Credit Card
579724,49898,Scott Little,18261.77,629.72,16,29,8186.36,03-02-2025,On Time,Reminder Sent,Cash
560588,53767,Kevin Vasquez,760354.05,31681.42,17,24,221769.94,05-06-2025,Late,None,Cash
335306,65695,Todd Young,804071.43,19611.5,7,41,666791,05-08-2024,Late,,Bank Transfer
764716,22787,Christian Webb,971826.38,44173.93,19,22,132521.79,05-12-2023,Defaulted,Reminder Sent,UPI
670659,69229,Lisa Henry,887365.68,24649.05,27,36,221841.45,13-10-2024,On Time,Legal Notice,Bank Transfer
828702,41437,Linda Zavala,228463.32,8787.05,11,26,131805.75,25-10-2023,On Time,Legal Notice,UPI
590398,59382,Lauren Walsh,513372.13,10066.12,27,51,241586.88,29-11-2023,,Legal Notice,Bank Transfer
994400,41290,Erica Johnson,660291.75,22009.72,12,30,396174.96,01-07-2024,Late,Collection Agency,Cash
919811,37792,Peggy Miles,672165.04,14612.28,39,46,102285.96,24-01-2025,Late,Legal Notice,Credit Card
626275,64330,Richard Berry,389847.21,25989.81,3,15,311877.72,11-12-2024,Late,Reminder Sent,Credit Card
105318,62844,Amanda Phillips,947772.31,29617.88,31,32,29617.88,17-02-2024,Defaulted,Legal Notice,Bank Transfer
209771,85387,Eduardo Krueger,382081.23,8490.69,42,45,25472.07,13-10-2023,Late,Reminder Sent,Credit Card
267814,10969,Felicia Hunter,599668.27,12238.13,7,49,514001.46,26-03-2024,Defaulted,,UPI
107447,67740,Jessica Walker,814386.89,62645.15,6,13,438516.05,21-01-2025,Defaulted,Reminder Sent,Credit Card
246997,95566,Rachel Robinson,249168.21,7328.48,1,34,241839.84,02-11-2023,On Time,Legal Notice,UPI
336049,86637,Chad Hartman,831447.96,25195.39,23,33,251953.9,14-07-2024,On Time,,UPI
963829,84702,Allison Diaz,329247.64,21949.84,6,15,197548.56,25-06-2024,Defaulted,Collection Agency,Cash
797369,94081,Janet Meyers,698488.94,22531.9,10,31,473169.9,13-06-2025,On Time,Legal Notice,Bank Transfer
464636,18317,Melissa Jackson,744440.9,20678.91,10,36,537651.66,01-11-2024,Defaulted,,UPI
