customer_id,name,age,gender,marital_status,income,employment_type,loan_purpose
95831,Brad Marshall,59,Male,Married,55894,Self-Employed,Car
70133,Jeremy Jones,49,Other,Divorced,57413.83,Self-Employed,Education
29446,Emma Garcia,35,Male,Single,56634.92,Salaried,Business
56596,Alexandra Harrison,63,Female,Single,50681.64,Unemployed,Car
56006,Rebecca Mitchell,28,Other,Divorced,72985.48,Salaried,Home
65571,Corey Garcia,41,Other,Widowed,15420.81,Unemployed,Education
52903,Anthony Woods,59,Female,Widowed,52193.16,Self-Employed,Personal
53511,Adrienne Burke,39,Male,Married,66947.04,Self-Employed,Home
75513,Katherine Horton,43,Other,Divorced,21629.1,Retired,Business
63838,Yesenia Goodwin,31,Other,Widowed,62568.77,Self-Employed,Business
80987,Michele King,31,Female,Widowed,38582.55,Unemployed,Education
81785,Jeffrey Ramirez,44,Female,Married,51647.24,Salaried,Business
34219,Mrs. Carolyn Miller,56,Male,Married,38294.61,Retired,Medical
42696,Patrick Wood,60,Other,Single,64387.28,Unemployed,Personal
66995,Matthew Vega,44,Male,Widowed,45674.57,Salaried,Education
65283,Stephen White,23,Male,Single,62686.95,Salaried,Medical
71744,Eric Walton,42,Female,Widowed,56529.95,Salaried,Business
10488,Zachary Collins,22,Other,Single,38093.11,Self-Employed,Education
32806,Craig Rocha,44,Other,Married,57527.89,Salaried,Medical
42246,Adam Ramirez,64,Other,Divorced,40046.46,Self-Employed,Business
91570,Jeffrey Li,50,Female,Married,50961.92,Salaried,Car
30998,Jeffrey Becker,58,Female,Single,45401.08,Salaried,Car
81151,Jodi Sanchez,22,Female,Single,63498.68,Self-Employed,Home
15581,Catherine Raymond,41,Female,Divorced,58104.83,Self-Employed,Car
94988,Carol Martinez,53,Female,Widowed,49539.18,Unemployed,Medical
38428,Andrea Peters,32,Other,Single,39714.32,Salaried,Personal
79750,Michael Robbins,42,Male,Single,30965.13,Self-Employed,Car
48321,Donna Woods,64,Other,Single,52034.85,Unemployed,Education
61289,Marilyn Lynn,45,Male,Divorced,40515.64,Unemployed,Education
82818,Willie Olson,47,Female,Married,21830.06,Self-Employed,Education
65710,Darren Flores,62,Male,Single,30049.57,Salaried,Car
79030,Deborah Mcdowell,48,Other,Divorced,74388.13,Unemployed,Car
21564,Ryan Allen,36,Other,Single,40100.35,Salaried,Home
24003,Tina Randall,35,Male,Widowed,66232.44,Salaried,Personal
47447,Michael Vang,64,Female,Divorced,44650.25,Unemployed,Personal
